MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.84,0.57,1.0,3,12,90,5000,1.0
0.84,0.7,1.0,3,12,100,5000,1.0
0.13,0.1,0.09,3,24,1,5000,0.0
0.51,0.22,1.0,3,24,10,5000,0.77
0.51,0.42,1.0,3,24,20,5000,1.0
0.51,0.55,1.0,3,24,30,5000,1.0
0.51,0.73,1.0,3,24,40,5000,1.0
0.51,0.6,1.0,3,24,50,5000,1.0
0.51,0.6,1.0,3,24,60,5000,1.0
0.51,0.79,1.0,3,24,70,5000,1.0
0.51,0.91,1.0,3,24,80,5000,1.0
0.51,0.94,1.0,3,24,90,5000,1.0
0.51,0.94,1.0,3,24,100,5000,1.0
0.08,0.08,0.12,3,36,1,5000,0.0
0.35,0.57,1.0,3,36,10,5000,0.9
0.35,0.92,1.0,3,36,20,5000,1.0
0.35,0.99,1.0,3,36,30,5000,1.0
0.35,0.99,1.0,3,36,40,5000,1.0
0.35,1.0,1.0,3,36,50,5000,1.0
0.35,1.0,1.0,3,36,60,5000,1.0
0.35,1.0,1.0,3,36,70,5000,1.0
0.35,1.0,1.0,3,36,80,5000,1.0
0.35,1.0,1.0,3,36,90,5000,1.0
